fecha_hora,unidad,real,prediccion,modelo,ventana,error_absoluto,error_porcentual
2025-03-30 23:00:00,G2,0.460292,12.288065,Baseline persistencia,24,11.827772999999999,2569.6238474707357
2025-03-30 23:00:00,G2,0.460292,12.288065,Baseline persistencia,12,11.827772999999999,2569.6238474707357
2025-03-30 23:00:00,G2,0.460292,12.288065,Baseline persistencia,4,11.827772999999999,2569.6238474707357
2025-03-31 20:45:00,G2,11.101878,0.460292,Baseline persistencia,12,10.641585999999998,95.85392669600584
2025-03-31 20:45:00,G2,11.101878,0.460292,Baseline persistencia,4,10.641585999999998,95.85392669600584
2025-03-31 20:45:00,G2,11.101878,0.460292,Baseline persistencia,24,10.641585999999998,95.85392669600584
2025-03-31 20:30:00,G1,1.419585,10.292563,Baseline persistencia,4,8.872978,625.0402758552675
2025-03-31 20:30:00,G1,1.419585,10.292563,Baseline persistencia,12,8.872978,625.0402758552675
2025-03-31 20:30:00,G1,1.419585,10.292563,Baseline persistencia,24,8.872978,625.0402758552675
2025-03-30 23:00:00,G1,1.265987,9.555632,Baseline persistencia,24,8.289645,654.7970081841283
2025-03-31 20:30:00,G2,0.4602920000000001,12.531101,LSTM,12,12.070808999999999,2622.424243740929
2025-03-31 20:30:00,G2,0.4602920000000001,12.509405,LSTM,24,12.049112999999998,2617.71071406846
2025-03-31 20:30:00,G2,0.4602920000000001,12.470097,LSTM,4,12.009805,2609.170917591441
2025-03-31 20:30:00,G1,1.2659869999999998,9.914521,LSTM,24,8.648534000000001,683.1455615263035
2025-03-31 20:30:00,G1,1.2659869999999998,9.905354,LSTM,12,8.639367000000002,682.4214624636749
2025-03-31 20:30:00,G1,1.2659869999999998,9.902116,LSTM,4,8.636129,682.1656936445637
2025-03-31 20:45:00,G1,1.419585,9.217083,LSTM,24,7.797498000000001,549.2801065100011
2025-03-31 20:45:00,G1,1.419585,8.483867,LSTM,4,7.064282,497.6300820310161
2025-03-31 20:45:00,G1,1.419585,7.994373,LSTM,12,6.574788,463.1485962446771
2025-03-31 21:00:00,G1,5.498774999999999,8.501295,LSTM,24,3.0025200000000014,54.6034344012985
2025-03-30 23:00:00,G2,0.460292,12.40371996616931,Random Forest,24,11.94342796616931,2594.7502815971843
2025-03-30 23:00:00,G2,0.460292,12.39010622026588,Random Forest,4,11.929814220265879,2591.7926490718673
2025-03-30 23:00:00,G2,0.460292,12.384741166166672,Random Forest,12,11.92444916616667,2590.627072850858
2025-03-30 23:00:00,G1,1.265987,9.97392094438228,Random Forest,4,8.70793394438228,687.8375484410409
2025-03-30 23:00:00,G1,1.265987,9.972495375768522,Random Forest,24,8.706508375768522,687.7249431288411
2025-03-30 23:00:00,G1,1.265987,9.951838867047618,Random Forest,12,8.685851867047617,686.0932906141704
2025-03-31 20:30:00,G1,1.419585,9.92010962521032,Random Forest,24,8.50052462521032,598.8034971636301
2025-03-31 20:30:00,G1,1.419585,9.86141129897488,Random Forest,4,8.441826298974881,594.6686037803217
2025-03-31 20:30:00,G1,1.419585,9.848467183196735,Random Forest,12,8.428882183196736,593.7567798474015
2025-03-31 21:00:00,G1,5.70875,9.766496126326716,Random Forest,24,4.057746126326716,71.07941539438083
2025-03-30 23:00:00,G2,0.460292,12.33559799194336,XGBoost,12,11.875305991943359,2579.9505513768127
2025-03-30 23:00:00,G2,0.460292,12.324294090270996,XGBoost,24,11.864002090270995,2577.4947403541655
2025-03-30 23:00:00,G2,0.460292,12.30872631072998,XGBoost,4,11.84843431072998,2574.112587385829
2025-03-30 23:00:00,G1,1.265987,10.162912368774414,XGBoost,12,8.896925368774415,702.765934308521
2025-03-30 23:00:00,G1,1.265987,10.07045078277588,XGBoost,4,8.80446378277588,695.462416500002
2025-03-30 23:00:00,G1,1.265987,9.877281188964844,XGBoost,24,8.611294188964845,680.203998063554
2025-03-31 20:30:00,G1,1.419585,9.96351146697998,XGBoost,4,8.54392646697998,601.86085841848
2025-03-31 20:30:00,G1,1.419585,9.96208953857422,XGBoost,24,8.54250453857422,601.7606933416612
2025-03-31 20:30:00,G1,1.419585,9.939970970153809,XGBoost,12,8.520385970153809,600.2025923177414
2025-03-31 20:30:00,G2,8.767098,12.552424430847168,XGBoost,24,3.7853264308471672,43.176504139079626
