fecha_hora,fecha,anio,mes,dia,hora,minuto,dia_semana,unidad,unidad_id,mes_origen,potencia_efectiva,objetivo_t_1,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,media_movil_4,media_movil_12,media_movil_24
2024-12-02 20:30:00,2024-12-02,2024,12,2,20,30,0,G2,2,Diciem,11.655703,11.782972,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.874493,11.378095,12.163885,11.718428,11.619025,11.44432,11.986403,11.771665,11.598894,11.496084583333333,11.614434666666668
2024-12-02 20:45:00,2024-12-02,2024,12,2,20,45,0,G1,1,Diciem,10.970575,10.936845,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,11.14555,10.857845,10.5795,10.951685,10.929922,10.95642,10.917053,10.923898,10.95787675,11.155827666666667,11.029851166666667
2024-12-02 20:45:00,2024-12-02,2024,12,2,20,45,0,G2,2,Diciem,11.782972,11.646752,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.874493,11.378095,12.163885,11.718428,11.619025,11.44432,11.986403,11.661999250000001,11.480837166666667,11.609602916666667
2024-12-02 21:00:00,2024-12-02,2024,12,2,21,0,0,G1,1,Diciem,10.936845,10.919545,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,11.14555,10.857845,10.5795,10.951685,10.929922,10.95642,10.917053,10.9626155,11.177085333333332,11.031796041666666
2024-12-02 21:00:00,2024-12-02,2024,12,2,21,0,0,G2,2,Diciem,11.646752,11.604355,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.874493,11.378095,12.163885,11.718428,11.619025,11.44432,11.72080175,11.47271525,11.601126625
2024-12-02 21:15:00,2024-12-02,2024,12,2,21,15,0,G1,1,Diciem,10.919545,10.932828,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,11.14555,10.857845,10.5795,10.951685,10.929922,10.95642,10.957613,11.153538249999999,11.032620708333333
2024-12-02 21:15:00,2024-12-02,2024,12,2,21,15,0,G2,2,Diciem,11.604355,11.763858,11.646752,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.874493,11.378095,12.163885,11.718428,11.619025,11.68442425,11.511071416666667,11.609561291666667
2024-12-02 21:30:00,2024-12-02,2024,12,2,21,30,0,G1,1,Diciem,10.932828,10.920093,10.919545,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,11.14555,10.857845,10.5795,10.951685,10.929922,10.94409625,11.106269500000002,11.03108425
2024-12-02 21:30:00,2024-12-02,2024,12,2,21,30,0,G2,2,Diciem,11.763858,11.64849,11.604355,11.646752,11.782972,11.655703,11.65227,11.792262,11.547762,11.403282,11.464453,11.262797,11.2567,11.208547,11.459357,11.186478,11.880435,11.838672,11.89918,11.57454,11.78596,11.577423,11.874493,11.378095,12.163885,11.718428,11.6724455,11.523154583333332,11.608950041666667
2024-12-02 21:45:00,2024-12-02,2024,12,2,21,45,0,G1,1,Diciem,10.920093,10.736232,10.932828,10.919545,10.936845,10.970575,10.94942,10.973612,10.956855,10.95162,11.214612,11.52096,11.340393,11.303852,11.236945,11.48677,11.21941,10.715483,10.706568,11.206215,10.798882,10.872958,11.14555,10.857845,10.5795,10.951685,10.93994825,11.080926416666665,11.031205333333332
