fecha_hora,unidad,real,prediccion,modelo,ventana,error_absoluto
2025-03-15 18:00:00,G1,10.159828,10.17184,Baseline persistencia,4,0.012012000000000356
2025-03-15 18:00:00,G2,12.347687,12.41646,Baseline persistencia,4,0.0687730000000002
2025-03-15 18:15:00,G1,10.249372,10.217565,Baseline persistencia,4,0.03180699999999881
2025-03-15 18:15:00,G2,12.360397,12.387942,Baseline persistencia,4,0.02754499999999993
2025-03-15 18:30:00,G1,10.272835,10.159828,Baseline persistencia,4,0.11300700000000141
2025-03-15 18:30:00,G2,12.603323,12.347687,Baseline persistencia,4,0.2556359999999991
2025-03-15 18:45:00,G1,9.866293,10.249372,Baseline persistencia,4,0.3830789999999986
2025-03-15 18:45:00,G2,12.401898,12.360397,Baseline persistencia,4,0.041500999999998456
2025-03-15 19:00:00,G1,10.327835,10.272835,Baseline persistencia,4,0.054999999999999716
2025-03-15 19:00:00,G2,12.517622,12.603323,Baseline persistencia,4,0.08570100000000025
2025-03-15 19:15:00,G1,9.75209,9.866293,Baseline persistencia,4,0.11420299999999983
2025-03-15 19:15:00,G2,12.6174,12.401898,Baseline persistencia,4,0.21550200000000075
2025-03-15 19:30:00,G1,10.34029,10.327835,Baseline persistencia,4,0.012454999999999217
2025-03-15 19:30:00,G2,12.533745,12.517622,Baseline persistencia,4,0.01612300000000033
2025-03-15 19:45:00,G1,10.046392,9.75209,Baseline persistencia,4,0.29430200000000006
2025-03-15 19:45:00,G2,12.288092,12.6174,Baseline persistencia,4,0.32930799999999927
2025-03-15 20:00:00,G1,10.445647,10.34029,Baseline persistencia,4,0.1053569999999997
2025-03-15 20:00:00,G2,12.38413,12.533745,Baseline persistencia,4,0.14961499999999894
2025-03-15 20:15:00,G1,10.148305,10.046392,Baseline persistencia,4,0.1019129999999997
2025-03-15 20:15:00,G2,12.37875,12.288092,Baseline persistencia,4,0.09065799999999946
2025-03-15 20:30:00,G1,9.753813,10.445647,Baseline persistencia,4,0.6918340000000001
2025-03-15 20:30:00,G2,12.401015,12.38413,Baseline persistencia,4,0.016884999999998485
2025-03-15 20:45:00,G1,10.221803,10.148305,Baseline persistencia,4,0.07349799999999895
2025-03-15 20:45:00,G2,12.380315,12.37875,Baseline persistencia,4,0.0015649999999993724
2025-03-15 21:00:00,G1,10.184965,9.753813,Baseline persistencia,4,0.43115200000000087
2025-03-15 21:00:00,G2,12.37333,12.401015,Baseline persistencia,4,0.02768499999999996
2025-03-15 21:15:00,G1,10.212177,10.221803,Baseline persistencia,4,0.009625999999999024
2025-03-15 21:15:00,G2,12.349348,12.380315,Baseline persistencia,4,0.030966999999998635
2025-03-15 21:30:00,G1,10.072453,10.184965,Baseline persistencia,4,0.11251200000000061
2025-03-15 21:30:00,G2,12.398465,12.37333,Baseline persistencia,4,0.025135000000000574
2025-03-15 21:45:00,G1,10.201752,10.212177,Baseline persistencia,4,0.010424999999999685
2025-03-15 21:45:00,G2,12.342303,12.349348,Baseline persistencia,4,0.007045000000001522
2025-03-15 22:00:00,G1,9.916165,10.072453,Baseline persistencia,4,0.15628799999999998
2025-03-15 22:00:00,G2,12.385497,12.398465,Baseline persistencia,4,0.01296799999999898
2025-03-15 22:15:00,G1,9.989323,10.201752,Baseline persistencia,4,0.2124290000000002
2025-03-15 22:15:00,G2,12.35112,12.342303,Baseline persistencia,4,0.008817000000000519
2025-03-15 22:30:00,G1,10.25887,9.916165,Baseline persistencia,4,0.3427050000000005
2025-03-15 22:30:00,G2,12.53553,12.385497,Baseline persistencia,4,0.15003299999999875
2025-03-15 22:45:00,G1,10.21199,9.989323,Baseline persistencia,4,0.2226669999999995
2025-03-15 22:45:00,G2,12.426403,12.35112,Baseline persistencia,4,0.07528300000000065
2025-03-15 23:00:00,G1,9.791692,10.25887,Baseline persistencia,4,0.46717800000000054
2025-03-15 23:00:00,G2,12.309822,12.53553,Baseline persistencia,4,0.22570799999999913
