modelo,ventana,unidad,MAE (MW),RMSE (MW),MAPE (%),Tiempo de cómputo (s)
Baseline persistencia,4,G1,"0,28","0,76","5,96",—
Baseline persistencia,4,G2,"0,19","0,87","8,19",—
Baseline persistencia,4,Agregado,"0,24","0,82","7,07","< 0,01"
Random Forest,4,G1,"0,27","0,76","5,98",—
Random Forest,4,G2,"0,17","0,68","8,02",—
Random Forest,4,Agregado,"0,22","0,72","7,00","1,16"
XGBoost,4,G1,"0,28","0,77","6,14",—
XGBoost,4,G2,"0,16","0,67","7,94",—
XGBoost,4,Agregado,"0,22","0,72","7,04","0,29"
LSTM,4,G1,"0,24","0,64","5,28",—
LSTM,4,G2,"0,15","0,66","7,94",—
LSTM,4,Agregado,"0,20","0,65","6,61","8,64"
