serie,registros,minimo,maximo,promedio,desv_est,inicio,fin
G1,2531,1.265987,14.179538,10.378079875148163,0.9072654796339653,2024-12-01 18:00:00,2025-03-31 23:00:00
G2,2526,0.460292,13.30449,12.021148288994459,0.9504476736499149,2024-12-01 18:00:00,2025-03-31 23:00:00
Total registros,5057,0.460292,14.179538,11.198801807791181,1.2401941765607054,2024-12-01 18:00:00,2025-03-31 23:00:00
